Age,Travel,Department,Distance,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,MaritalStatus,MonthlyIncome,Over18,OverTime,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,JobSatisfaction
41.0,Rarely,Other,1.0,Low,1.0,Low,Female,94.0,High,Low,Single,5993.0,1.0,Yes,8.0,6.0,4.0,0.0,High
49.0,Frequently,Other,8.0,Low,2.0,High,Male,61.0,Low,Low,Married,5130.0,1.0,No,10.0,10.0,7.0,1.0,Low
37.0,Rarely,Other,2.0,Low,4.0,High,Male,92.0,Low,Low,Single,2090.0,1.0,Yes,7.0,0.0,0.0,0.0,High
33.0,Frequently,Other,3.0,High,5.0,High,Female,56.0,High,Low,Married,2909.0,1.0,Yes,8.0,8.0,7.0,3.0,High
27.0,Rarely,Other,2.0,Low,7.0,Low,Male,40.0,High,Low,Married,3468.0,1.0,No,6.0,2.0,2.0,2.0,Low
32.0,Frequently,Other,2.0,Low,8.0,High,Male,79.0,High,Low,Single,3068.0,1.0,No,8.0,7.0,7.0,3.0,High
59.0,Rarely,Other,3.0,Medium,10.0,High,Female,81.0,,Low,Married,2670.0,1.0,Yes,12.0,1.0,0.0,0.0,Low
30.0,Rarely,Other,24.0,Low,11.0,High,Male,67.0,High,Low,Single,2693.0,1.0,No,1.0,1.0,0.0,0.0,High
38.0,Frequently,Other,23.0,Medium,12.0,High,Male,44.0,Low,Medium,Single,9526.0,1.0,No,10.0,9.0,7.0,1.0,High
36.0,Rarely,Other,27.0,Medium,13.0,High,Male,94.0,High,Low,Married,5237.0,1.0,No,17.0,7.0,7.0,7.0,High
35.0,Rarely,Other,16.0,Medium,14.0,Low,Male,84.0,High,Low,Married,2426.0,1.0,No,6.0,5.0,4.0,0.0,Low
29.0,Rarely,,15.0,Low,15.0,High,Female,49.0,Low,Low,Single,4193.0,1.0,Yes,10.0,9.0,5.0,0.0,High
31.0,Rarely,Other,26.0,Low,16.0,Low,Male,31.0,High,Low,Single,2911.0,1.0,No,5.0,5.0,2.0,4.0,High
34.0,Rarely,Other,19.0,Low,18.0,Low,Male,93.0,High,Low,Single,2661.0,1.0,No,3.0,2.0,2.0,,High
28.0,Rarely,Other,24.0,Medium,19.0,High,Male,50.0,Low,Low,Single,2028.0,1.0,Yes,6.0,4.0,2.0,0.0,High
29.0,Rarely,Other,21.0,High,20.0,Low,Female,51.0,High,Medium,Single,9980.0,1.0,No,10.0,10.0,9.0,8.0,Low
32.0,Rarely,Other,5.0,Low,21.0,Low,Male,80.0,High,Low,Single,3298.0,1.0,Yes,7.0,6.0,2.0,0.0,Low
22.0,Never,Other,16.0,Low,22.0,High,Male,96.0,High,Low,Single,2935.0,1.0,Yes,1.0,1.0,0.0,0.0,High
53.0,Rarely,Other,2.0,High,23.0,Low,Female,78.0,Low,High,Married,15427.0,1.0,No,31.0,25.0,8.0,3.0,High
38.0,Rarely,Other,2.0,Medium,24.0,High,Male,45.0,High,Low,Single,3944.0,1.0,Yes,6.0,3.0,2.0,1.0,High
24.0,Never,Other,11.0,Low,26.0,Low,Female,96.0,High,Low,Single,4011.0,1.0,No,5.0,4.0,2.0,1.0,High
36.0,Rarely,Other,9.0,High,27.0,High,Male,82.0,Low,Low,Single,3407.0,1.0,No,10.0,5.0,3.0,0.0,Low
34.0,Rarely,Other,7.0,High,28.0,Low,Female,53.0,High,Medium,Single,,1.0,No,13.0,12.0,6.0,2.0,Low
21.0,Rarely,,,Low,30.0,High,Male,96.0,High,Low,Single,1232.0,1.0,No,0.0,0.0,0.0,0.0,High
