Song,Duration,ExplicitContent,Year,Popularity,Danceability,Intensity,Loudness,SpokenWords,Acousticness,Instrumentalness,Liveness,Tempo,Genre
Oops!...I Did It Again (Britney Spears),211160.0,False,2000.0,High,0.7509999999999999,0.8340000000000001,-5.444,No,0.3,1.77e-05,0.355,95.053,Pop
All The Small Things (blink-182),167066.0,False,1999.0,High,0.434,0.897,-4.918,No,0.0103,0.0,0.612,148.726,Pop
Breathe (Faith Hill),250546.0,False,1999.0,High,0.529,0.496,-9.007,No,0.17300000000000001,0.0,0.251,136.859,Pop
It's My Life (Bon Jovi),224493.0,False,2000.0,High,0.551,0.9129999999999999,-4.063,No,0.0263,1.3500000000000001e-05,0.34700000000000003,119.992,Rock
Bye Bye Bye (*NSYNC),200560.0,False,2000.0,High,0.614,0.9279999999999999,-4.806,No,0.0408,0.0010400000000000001,0.0845,172.65599999999998,Pop
Thong Song (Sisqo),253733.0,True,1999.0,High,0.706,0.888,-6.959,No,0.11900000000000001,9.640000000000001e-05,0.07,121.54899999999999,Pop
The Real Slim Shady (Eminem),284200.0,True,2000.0,High,0.9490000000000001,0.6609999999999999,-4.244,No,0.0302,0.0,,104.50399999999999,Rock
Rock DJ (Robbie Williams),258560.0,False,2000.0,High,0.708,0.772,-4.263999999999999,No,0.0267,0.0,0.467,103.035,Pop
Say My Name (Destiny's Child),271333.0,False,1999.0,High,0.713,0.6779999999999999,-3.525,No,0.273,0.0,0.149,138.009,Pop
Lady - Hear Me Tonight (Modjo),307153.0,False,2001.0,High,0.72,0.8079999999999999,-5.627000000000001,No,0.00793,0.0293,0.0634,126.041,Rock
L'Amour Toujours (Gigi D'Agostino),238759.0,False,2011.0,Low,0.617,0.728,-7.932,No,0.0328,0.0482,0.36,139.066,Pop
Move Your Body - Gabry Ponte Original Radio Edit (Eiffel 65),268863.0,False,1999.0,Low,0.745,0.958,-9.664,No,0.0813,0.324,0.5329999999999999,129.96200000000002,Pop
Freestyler (Bomfunk MC's),306333.0,False,2000.0,Low,0.8220000000000001,0.922,-5.797999999999999,No,0.0291,0.325,0.252,163.826,Pop
Desert Rose (Sting),285960.0,False,1999.0,High,0.586,0.659,-7.92,No,0.011000000000000001,0.0,0.106,111.98899999999999,Pop
Never Be The Same Again (Melanie C),294200.0,False,1999.0,High,0.6890000000000001,0.685,-5.153,No,0.0921,0.0,0.11900000000000001,160.067,Pop
Try Again (Aaliyah),284000.0,False,2002.0,Low,0.797,0.622,-5.642,Yes,0.0807,0.0,0.0841,93.02,Pop
I'm Outta Love - Radio Edit (Anastacia),245400.0,False,1999.0,High,0.7609999999999999,0.716,-5.8,No,0.396,0.0,0.0771,119.41,Pop
Better Off Alone (Alice Deejay),214883.0,False,2000.0,High,0.6709999999999999,0.88,-6.149,No,0.0018100000000000002,0.691,0.285,136.953,Pop
The Riddle (Gigi D'Agostino),285426.0,False,1999.0,High,0.74,0.8759999999999999,-6.87,No,0.0173,0.0015199999999999999,0.0785,127.00200000000001,Pop
The Next Episode (Dr. Dre),161506.0,True,1999.0,High,0.922,0.909,-2.4290000000000003,Yes,0.0281,0.0,0.0856,95.295,Rock
In the End (Linkin Park),216880.0,False,2000.0,High,0.556,0.8640000000000001,-5.87,No,0.00958,0.0,0.209,105.14299999999999,Rock
Sexbomb (Tom Jones),211893.0,False,1999.0,High,0.8009999999999999,0.8759999999999999,-3.94,No,0.14400000000000002,1.3800000000000002e-05,0.10400000000000001,122.979,Rock
It Feels So Good (Sonique),240866.0,False,2000.0,High,0.634,0.677,-7.278,No,0.0117,0.00103,0.126,135.012,Pop
Cold as Ice (M.O.P.),244466.0,True,2000.0,Low,0.6559999999999999,0.88,-5.425,Yes,0.0421,0.0,0.294,85.565,Rock
I Turn To You (Melanie C),352173.0,False,1999.0,Low,0.522,0.8029999999999999,-5.825,No,0.00117,0.0016699999999999998,0.31,135.205,Pop
